INFO: setting server port as: 8080
INFO: Waiting for incoming connection...
R0:59348.303891,0.041792,59348.304048,59348.345958
R1:59348.487427,0.133472,59348.487480,59348.620980
R2:59348.640332,0.018341,59348.640379,59348.658747
R3:59348.883034,0.121834,59348.883080,59349.004929
R4:59348.923897,0.067281,59349.005049,59349.072339
R5:59348.956452,0.082600,59349.072360,59349.154969
R6:59349.021355,0.060026,59349.155008,59349.215046
R7:59349.066749,0.206605,59349.215079,59349.421692
R8:59349.370912,0.105280,59349.421708,59349.527006
R9:59349.471911,0.077822,59349.527040,59349.604869
R10:59349.487285,0.023187,59349.604887,59349.628080
R11:59349.488939,0.135879,59349.628111,59349.764019
R12:59349.503710,0.042700,59349.764055,59349.806761
R13:59349.520764,0.009600,59349.806778,59349.816382
R14:59349.534678,0.020519,59349.816396,59349.836922
R15:59350.218245,0.152254,59350.218288,59350.370566
R16:59350.290220,0.029252,59350.370627,59350.399887
R17:59350.385082,0.061912,59350.399917,59350.461844
R18:59350.486591,0.300302,59350.486620,59350.786942
R19:59350.554662,0.122966,59350.787032,59350.910014
R20:59350.589289,0.122442,59350.910040,59351.032494
R21:59350.664118,0.185106,59351.032527,59351.217661
R22:59350.715256,0.036214,59351.217703,59351.253927
R23:59350.748595,0.209469,59351.253954,59351.463440
R24:59350.913505,0.248530,59351.463479,59351.712027
R25:59350.920744,0.007499,59351.712062,59351.719568
R26:59350.995404,0.090695,59351.719589,59351.810297
R27:59351.016766,0.035757,59351.810327,59351.846097
R28:59351.237723,0.001686,59351.846116,59351.847813
R29:59351.244377,0.005431,59351.847835,59351.853272
R30:59351.305582,0.293994,59351.853289,59352.147305
R31:59351.332820,0.158606,59352.147346,59352.305962
R32:59351.565332,0.064667,59352.305981,59352.370655
R33:59351.596375,0.119013,59352.370671,59352.489690
R34:59351.643421,0.091816,59352.489704,59352.581525
R35:59351.715290,0.003339,59352.581540,59352.584884
R36:59351.791154,0.223819,59352.584897,59352.808726
R37:59351.848729,0.106364,59352.808750,59352.915123
R38:59352.115837,0.111788,59352.915140,59353.026942
R39:59352.149306,0.036419,59353.026966,59353.063397
R40:59352.251479,0.015124,59353.063416,59353.078547
R41:59352.367922,0.176741,59353.078561,59353.255312
R42:59352.425937,0.033415,59353.255337,59353.288754
R43:59352.602672,0.186534,59353.288770,59353.475319
R44:59352.628683,0.096708,59353.475348,59353.572066
R45:59352.671824,0.074024,59353.572087,59353.646125
R46:59352.985264,0.163059,59353.646146,59353.809217
R47:59353.092371,0.214719,59353.809240,59354.023970
R48:59353.150287,0.140512,59354.023994,59354.164517
R49:59353.201123,0.201567,59354.164549,59354.366136
R50:59353.316407,0.020260,59354.366174,59354.386446
R51:59353.382291,0.210611,59354.386475,59354.597121
R52:59353.682389,0.177430,59354.597167,59354.774613
R53:59353.698375,0.047129,59354.774653,59354.821790
R54:59353.800862,0.027498,59354.821814,59354.849319
R55:59353.897536,0.030616,59354.849334,59354.879953
R56:59354.051741,0.021360,59354.879976,59354.901344
R57:59354.111014,0.026941,59354.901366,59354.928323
R58:59354.131798,0.044893,59354.928353,59354.973262
R59:59354.213107,0.197754,59354.973279,59355.171045
R60:59354.231714,0.011230,59355.171066,59355.182304
R61:59354.242618,0.119092,59355.182319,59355.301430
R62:59354.311043,0.227786,59355.301505,59355.529303
R63:59354.729399,0.040266,59355.529323,59355.569602
R64:59354.844769,0.038326,59355.569635,59355.607972
R65:59354.983324,0.022026,59355.607998,59355.630030
R66:59355.018175,0.023355,59355.630052,59355.653416
R67:59355.106024,0.109777,59355.653430,59355.763224
R68:59355.122610,0.131443,59355.763256,59355.894709
R69:59355.136042,0.113898,59355.894748,59356.008660
R70:59355.153977,0.249818,59356.008689,59356.258519
R71:59355.161735,0.061436,59356.258541,59356.319983
R72:59355.167139,0.022877,59356.319998,59356.342913
R73:59355.186538,0.109934,59356.342965,59356.452909
R74:59355.346408,0.285300,59356.452927,59356.738275
R75:59355.453305,0.118834,59356.738337,59356.857183
R76:59355.555333,0.012076,59356.857202,59356.869285
R77:59355.565161,0.006788,59356.869300,59356.876095
R78:59355.638614,0.019082,59356.876796,59356.895888
R79:59355.645874,0.142751,59356.895905,59357.038674
R80:59355.707764,0.117406,59357.038701,59357.156140
R81:59355.792946,0.014312,59357.156184,59357.170505
R82:59355.798287,0.019047,59357.170523,59357.189594
R83:59356.994223,0.011172,59357.189609,59357.200786
R84:59357.214951,0.004631,59357.214983,59357.219623
R85:59357.826873,0.006256,59357.826928,59357.833199
R86:59358.031355,0.213737,59358.031419,59358.245189
R87:59358.031817,0.016575,59358.245235,59358.261844
R88:59358.121947,0.041423,59358.261889,59358.303337
R89:59358.139785,0.142759,59358.303378,59358.446150
R90:59358.384044,0.067004,59358.446188,59358.513213
R91:59358.428572,0.050211,59358.513246,59358.563486
R92:59358.515206,0.008747,59358.563534,59358.572288
R93:59358.631510,0.117992,59358.631558,59358.749572
R94:59358.707236,0.404774,59358.749608,59359.154405
R95:59358.743546,0.175048,59359.154473,59359.329558
R96:59358.829608,0.082609,59359.329613,59359.412249
R97:59358.967408,0.114795,59359.412289,59359.527120
R98:59358.971063,0.216275,59359.527168,59359.743470
R99:59359.150222,0.148173,59359.743510,59359.891709
client disconnected
