R0:26933.409506,0.041792,26933.409654,26933.451570
R1:26933.576398,0.133472,26933.576450,26933.709944
R2:26933.715371,0.018341,26933.715397,26933.733745
R3:26933.935969,0.121834,26933.936008,26934.057849
R4:26933.973104,0.067281,26934.057909,26934.125196
R5:26934.002692,0.082600,26934.125210,26934.207815
R6:26934.061694,0.060026,26934.207839,26934.267871
R7:26934.102955,0.206605,26934.267884,26934.474494
R8:26934.379449,0.105280,26934.474508,26934.579791
R9:26934.471256,0.077822,26934.579805,26934.657632
R10:26934.485206,0.023187,26934.657645,26934.680836
R11:26934.486709,0.135879,26934.680861,26934.816744
R12:26934.500133,0.042700,26934.816757,26934.859463
R13:26934.515632,0.009600,26934.859477,26934.869080
R14:26934.528274,0.020519,26934.869093,26934.889616
R15:26935.149653,0.152254,26935.149685,26935.301948
R16:26935.215064,0.029252,26935.301963,26935.331219
R17:26935.301293,0.061912,26935.331232,26935.393149
R18:26935.393562,0.300302,26935.393585,26935.693893
R19:26935.455426,0.122966,26935.693910,26935.816881
R20:26935.486892,0.122442,26935.816895,26935.939340
R21:26935.554910,0.185106,26935.939353,26936.124470
R22:26935.601390,0.036214,26936.124491,26936.160711
R23:26935.631680,0.209469,26936.160724,26936.370202
R24:26935.781581,0.248530,26936.370215,26936.618750
R25:26935.788160,0.007499,26936.618764,26936.626266
R26:26935.856032,0.090695,26936.626279,26936.716983
R27:26935.875441,0.035757,26936.717013,26936.752775
R28:26936.076306,0.001686,26936.752789,26936.754479
R29:26936.082341,0.005431,26936.754493,26936.759929
R30:26936.137976,0.293994,26936.759942,26937.053942
R31:26936.162725,0.158606,26937.053956,26937.212573
R32:26936.374086,0.064667,26937.212586,26937.277261
R33:26936.402290,0.119013,26937.277274,26937.396302
R34:26936.445054,0.091816,26937.396340,26937.488163
R35:26936.510382,0.003339,26937.488182,26937.491530
R36:26936.579338,0.223819,26937.491543,26937.715370
R37:26936.631673,0.106364,26937.715383,26937.821753
R38:26936.874491,0.111788,26937.821766,26937.933559
R39:26936.904907,0.036419,26937.933572,26937.969995
R40:26936.997789,0.015124,26937.970015,26937.985141
R41:26937.103643,0.176741,26937.985153,26938.161903
R42:26937.156393,0.033415,26938.161923,26938.195341
R43:26937.317087,0.186534,26938.195361,26938.381902
R44:26937.340738,0.096708,26938.381916,26938.478628
R45:26937.379965,0.074024,26938.478642,26938.552670
R46:26937.664920,0.163059,26938.552684,26938.715746
R47:26937.762287,0.214719,26938.715760,26938.930487
R48:26937.814938,0.140512,26938.930501,26939.071017
R49:26937.861147,0.201567,26939.071029,26939.272604
R50:26937.965948,0.020260,26939.272616,26939.292881
R51:26938.025839,0.210611,26939.292894,26939.503512
R52:26938.298648,0.177430,26939.503528,26939.680964
R53:26938.313181,0.047129,26939.680977,26939.728109
R54:26938.406339,0.027498,26939.728121,26939.755623
R55:26938.494218,0.030616,26939.755637,26939.786261
R56:26938.634388,0.021360,26939.786274,26939.807638
R57:26938.688255,0.026941,26939.807651,26939.834596
R58:26938.707145,0.044893,26939.834609,26939.879505
R59:26938.781055,0.197754,26939.879517,26940.077278
R60:26938.797958,0.011230,26940.077291,26940.088526
R61:26938.807864,0.119092,26940.088538,26940.207633
R62:26938.870057,0.227786,26940.207645,26940.435435
R63:26939.250362,0.040266,26940.435447,26940.475719
R64:26939.355228,0.038326,26940.475731,26940.514065
R65:26939.481183,0.022026,26940.514078,26940.536107
R66:26939.512868,0.023355,26940.536120,26940.559479
R67:26939.592717,0.109777,26940.559491,26940.669272
R68:26939.607754,0.131443,26940.669285,26940.800735
R69:26939.619950,0.113898,26940.800747,26940.914649
R70:26939.636252,0.249818,26940.914663,26941.164485
R71:26939.643303,0.061436,26941.164498,26941.225938
R72:26939.648215,0.022877,26941.225951,26941.248832
R73:26939.665843,0.109934,26941.248844,26941.358785
R74:26939.811169,0.285300,26941.358798,26941.644118
R75:26939.908339,0.118834,26941.644152,26941.763011
R76:26940.001088,0.012076,26941.763042,26941.775127
R77:26940.010016,0.006788,26941.775142,26941.781935
R78:26940.076784,0.019082,26941.782360,26941.801452
R79:26940.083376,0.142751,26941.801468,26941.944225
R80:26940.139636,0.117406,26941.944240,26942.061651
R81:26940.217071,0.014312,26942.061665,26942.075981
R82:26940.221926,0.019047,26942.075994,26942.095043
R83:26941.308722,0.011172,26942.095056,26942.106229
R84:26941.509360,0.004631,26942.106242,26942.110874
R85:26942.065634,0.006256,26942.110886,26942.117146
R86:26942.251501,0.213737,26942.251528,26942.465274
R87:26942.251891,0.016575,26942.465291,26942.481894
R88:26942.333820,0.041423,26942.481929,26942.523368
R89:26942.350018,0.142759,26942.523391,26942.666159
R90:26942.572047,0.067004,26942.666190,26942.733201
R91:26942.612510,0.050211,26942.733220,26942.783443
R92:26942.691276,0.008747,26942.783469,26942.792228
R93:26942.796994,0.117992,26942.797033,26942.915031
R94:26942.865818,0.404774,26942.915049,26943.319832
R95:26942.898812,0.175048,26943.319863,26943.494921
R96:26942.977033,0.082609,26943.494936,26943.577550
R97:26943.102277,0.114795,26943.577566,26943.692366
R98:26943.105564,0.216275,26943.692380,26943.908660
R99:26943.268409,0.148173,26943.908673,26944.056851
R100:26943.456247,0.113487,26944.056865,26944.170356
R101:26943.809358,0.342518,26944.170390,26944.512914
R102:26944.021804,0.057307,26944.512928,26944.570239
R103:26944.121747,0.147669,26944.570252,26944.717926
R104:26944.138037,0.006677,26944.717939,26944.724619
R105:26944.337839,0.023756,26944.724631,26944.748393
R106:26944.433207,0.021687,26944.748406,26944.770097
R107:26944.523475,0.031755,26944.770110,26944.801869
R108:26944.633122,0.021935,26944.801882,26944.823820
R109:26944.669370,0.083549,26944.823833,26944.907396
R110:26944.676382,0.087755,26944.907409,26944.995168
R111:26944.699403,0.296387,26944.995181,26945.291573
R112:26944.764387,0.065824,26945.291587,26945.357416
R113:26944.794262,0.010019,26945.357428,26945.367451
R114:26944.909757,0.074818,26945.367465,26945.442309
R115:26944.967735,0.049959,26945.442345,26945.492313
R116:26945.230295,0.156817,26945.492333,26945.649155
R117:26945.267574,0.000270,26945.649170,26945.649441
R118:26945.319405,0.076042,26945.649486,26945.725534
R119:26945.357868,0.022203,26945.725551,26945.747759
